X,exp_date,sampleID,clutch_number,reef.abbrv,tank,dev.temp,replicate,system,chamber,rep,male,female,region,population,male_standard_length,male_mass,female_standard_length,female_mass,male_lat,male_long,female_lat,female_long,clutch_order,days_in_treatment,egg_count,date_of_hatch,hatching_time,hatching_success,intercept_b0,slope_b1,rsq,row,endrow,time,time_lag_sec,time_lag_min,endtime,oxy,endoxy,rate.input,rank,rate,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output,rate.output2,Temperature,age
12,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,19,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,303.2001576,-0.021445822,0.971,5391,5480,9572.88,7201.13,120.0188333,9692.73,97.677,94.854,-0.019322688,1,-0.019322688,%Air,sec,0.06891,0.0010804,NA,37,31.313,1.019,-0.290503006,-268.8846775,NA,mgO2/hr/kg,268.8846775,0.290503006,31.513,139
13,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,20,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,302.8691135,-0.020539779,0.962,5688,5777,9972.91,7601.16,126.686,10092.63,97.698,95.255,-0.018309504,1,-0.018309504,%Air,sec,0.06891,0.0010804,NA,37,31.477,1.019,-0.274572816,-254.1399633,NA,mgO2/hr/kg,254.1399633,0.274572816,31.677,139
14,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,22,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,400.259205,-0.028030329,0.989,6282,6371,10772.32,8400.57,140.0095,10892.04,98.133,94.822,-0.025585911,1,-0.025585911,%Air,sec,0.06891,0.0010804,NA,37,31.702,1.019,-0.382360947,-353.9068373,NA,mgO2/hr/kg,353.9068373,0.382360947,31.902,139
15,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,24,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,280.1203895,-0.01576237,0.961,6877,6966,11573.16,9201.41,153.3568333,11692.81,97.81,95.817,-0.013103435,1,-0.013103435,%Air,sec,0.06891,0.0010804,NA,37,31.907,1.019,-0.195203381,-180.676954,NA,mgO2/hr/kg,180.676954,0.195203381,32.107,139
16,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,25,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,343.9229753,-0.020554298,0.985,7174,7263,11972.82,9601.07,160.0178333,12092.75,97.766,95.096,-0.017788266,1,-0.017788266,%Air,sec,0.06891,0.0010804,NA,37,32.029,1.019,-0.264497678,-244.814585,NA,mgO2/hr/kg,244.814585,0.264497678,32.229,139
17,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,26,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,364.7750512,-0.021574281,0.981,7471,7560,12372.7,10000.95,166.6825,12492.46,97.726,95.172,-0.018701154,1,-0.018701154,%Air,sec,0.06891,0.0010804,NA,37,32.112,1.019,-0.27771773,-257.0508422,NA,mgO2/hr/kg,257.0508422,0.27771773,32.312,139
18,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,28,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,395.1304521,-0.0225715,0.984,8066,8155,13172.95,10801.2,180.02,13292.66,97.541,95.032,-0.019484012,1,-0.019484012,%Air,sec,0.06891,0.0010804,NA,37,32.303,1.019,-0.288498219,-267.029081,NA,mgO2/hr/kg,267.029081,0.288498219,32.503,139
19,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,29,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,476.1739995,-0.027841084,0.96,8363,8452,13572.7,11200.95,186.6825,13692.54,98.079,94.851,-0.024646494,1,-0.024646494,%Air,sec,0.06891,0.0010804,NA,37,32.445,1.019,-0.364147485,-337.048764,NA,mgO2/hr/kg,337.048764,0.364147485,32.645,139
20,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,30,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,837.1390651,-0.05290841,0.988,8659,8749,13971.25,11599.5,193.325,14092.19,97.294,91.561,-0.049606911,1,-0.049606911,%Air,sec,0.06891,0.0010804,NA,37,32.585,1.019,-0.731369152,-676.9429396,NA,mgO2/hr/kg,676.9429396,0.731369152,32.785,139
21,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,31,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,454.6224012,-0.024820245,0.967,8957,9046,14372.16,12000.41,200.0068333,14491.84,97.606,94.752,-0.021411521,1,-0.021411521,%Air,sec,0.06891,0.0010804,NA,37,32.686,1.019,-0.315190913,-291.7353874,NA,mgO2/hr/kg,291.7353874,0.315190913,32.886,139
22,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,32,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,444.0436596,-0.023426939,0.976,9255,9344,14773.19,12401.44,206.6906667,14892.84,97.663,94.98,-0.019910793,1,-0.019910793,%Air,sec,0.06891,0.0010804,NA,37,32.756,1.019,-0.292787156,-270.9988484,NA,mgO2/hr/kg,270.9988484,0.292787156,32.956,139
23,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,33,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,443.4913553,-0.022794872,0.975,9552,9641,15172.51,12800.76,213.346,15292.17,97.805,94.663,-0.019171756,1,-0.019171756,%Air,sec,0.06891,0.0010804,NA,37,32.875,1.019,-0.281410114,-260.4684505,NA,mgO2/hr/kg,260.4684505,0.281410114,33.075,139
24,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,34,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,601.9612182,-0.032370798,0.985,9850,9939,15573.17,13201.42,220.0236667,15692.92,97.808,94.129,-0.028640343,1,-0.028640343,%Air,sec,0.06891,0.0010804,NA,37,32.964,1.019,-0.419825813,-388.5836845,NA,mgO2/hr/kg,388.5836845,0.419825813,33.164,139
25,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,35,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,821.6091296,-0.045351694,0.976,10147,10236,15973.08,13601.33,226.6888333,16092.89,97.323,91.343,-0.041514105,1,-0.041514105,%Air,sec,0.06891,0.0010804,NA,37,33.114,1.019,-0.607154071,-561.9715575,NA,mgO2/hr/kg,561.9715575,0.607154071,33.314,139
26,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,37,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,663.1590812,-0.033785383,0.952,10739,10828,16772.2,14400.45,240.0075,16892.2,96.317,92.813,-0.029733702,1,-0.029733702,%Air,sec,0.06891,0.0010804,NA,37,33.35,1.019,-0.433313092,-401.0672823,NA,mgO2/hr/kg,401.0672823,0.433313092,33.55,139
27,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,39,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,684.6036909,-0.033377757,0.97,11333,11422,17572.57,15200.82,253.347,17692.28,97.716,93.994,-0.029111715,1,-0.029111715,%Air,sec,0.06891,0.0010804,NA,37,33.482,1.019,-0.423404347,-391.8959157,NA,mgO2/hr/kg,391.8959157,0.423404347,33.682,139
28,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,41,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,742.5379861,-0.035135943,0.988,11927,12016,18372.18,16000.43,266.6738333,18491.96,96.923,92.837,-0.030655696,1,-0.030655696,%Air,sec,0.06891,0.0010804,NA,37,33.78,1.019,-0.44386417,-410.8331823,NA,mgO2/hr/kg,410.8331823,0.44386417,33.98,139
29,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,42,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,930.8700755,-0.044388357,0.979,12224,12313,18772.55,16400.8,273.3466667,18892.24,97.269,92.438,-0.039800872,1,-0.039800872,%Air,sec,0.06891,0.0010804,NA,37,33.828,1.019,-0.575861778,-533.0079401,NA,mgO2/hr/kg,533.0079401,0.575861778,34.028,139
30,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,44,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1011.721442,-0.046722913,0.979,12818,12907,19572.1,17200.35,286.6725,19692.1,97.016,91.692,-0.041921206,1,-0.041921206,%Air,sec,0.06891,0.0010804,NA,37,33.99,1.019,-0.605067064,-560.0398594,NA,mgO2/hr/kg,560.0398594,0.605067064,34.19,139
31,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,45,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1102.279107,-0.050259377,0.968,13115,13204,19972.49,17600.74,293.3456667,20092.1,97.76,92.775,-0.045350468,1,-0.045350468,%Air,sec,0.06891,0.0010804,NA,37,34.151,1.019,-0.652986237,-604.3930372,NA,mgO2/hr/kg,604.3930372,0.652986237,34.351,139
32,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,46,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,635.1717871,-0.026405666,0.984,13412,13501,20372.05,18000.3,300.005,20491.75,97.281,94.047,-0.021389712,1,-0.021389712,%Air,sec,0.06891,0.0010804,NA,37,34.227,1.019,-0.307633333,-284.7402194,NA,mgO2/hr/kg,284.7402194,0.307633333,34.427,139
33,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,47,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,522.1084238,-0.020456878,0.967,13709,13798,20772.13,18400.38,306.673,20891.95,97.14,94.392,-0.015333736,1,-0.015333736,%Air,sec,0.06891,0.0010804,NA,37,34.353,1.019,-0.220119577,-203.7389641,NA,mgO2/hr/kg,203.7389641,0.220119577,34.553,139
34,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,48,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,831.2582581,-0.0346269,0.97,14006,14095,21172.42,18800.67,313.3445,21292.4,97.677,93.631,-0.029396509,1,-0.029396509,%Air,sec,0.06891,0.0010804,NA,37,34.426,1.019,-0.421534574,-390.165285,NA,mgO2/hr/kg,390.165285,0.421534574,34.626,139
35,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,51,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,759.3913253,-0.029540008,0.973,14897,14986,22372.74,20000.99,333.3498333,22492.23,98.024,94.781,-0.023988145,1,-0.023988145,%Air,sec,0.06891,0.0010804,NA,37,34.802,1.019,-0.342060209,-316.6051548,NA,mgO2/hr/kg,316.6051548,0.342060209,35.002,139
36,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,53,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1364.014757,-0.054629378,0.963,15491,15580,23171.92,20800.17,346.6695,23291.83,97.358,91.66,-0.048863378,1,-0.048863378,%Air,sec,0.06891,0.0010804,NA,37,34.982,1.019,-0.694910458,-643.1973877,NA,mgO2/hr/kg,643.1973877,0.694910458,35.182,139
37,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,54,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1006.249977,-0.038510614,0.964,15787,15877,23571.03,21199.28,353.3213333,23692.22,98.171,94.214,-0.03263753,1,-0.03263753,%Air,sec,0.06891,0.0010804,NA,37,35.091,1.019,-0.463405267,-428.9200914,NA,mgO2/hr/kg,428.9200914,0.463405267,35.291,139
38,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,57,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,937.3575166,-0.033893197,0.955,16679,16768,24772.68,22400.93,373.3488333,24892.34,97.579,93.076,-0.027698424,1,-0.027698424,%Air,sec,0.06891,0.0010804,NA,37,35.521,1.019,-0.390785594,-361.7045486,NA,mgO2/hr/kg,361.7045486,0.390785594,35.721,139
39,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,58,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1849.327275,-0.069615655,0.986,16974,17063,25172.13,22800.38,380.0063333,25291.98,96.49,89.257,-0.063313854,1,-0.063313854,%Air,sec,0.06891,0.0010804,NA,37,35.683,1.019,-0.891139173,-824.8233741,NA,mgO2/hr/kg,824.8233741,0.891139173,35.883,139
40,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,59,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1306.912169,-0.047236376,0.965,17271,17360,25572.16,23200.41,386.6735,25692.23,98.312,93.287,-0.040827387,1,-0.040827387,%Air,sec,0.06891,0.0010804,NA,37,35.797,1.019,-0.573680227,-530.9887326,NA,mgO2/hr/kg,530.9887326,0.573680227,35.997,139
41,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,61,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1223.52674,-0.042692534,0.99,17865,17955,26372.32,24000.57,400.0095,26493.32,97.542,92.399,-0.036069077,1,-0.036069077,%Air,sec,0.06891,0.0010804,NA,37,36.037,1.019,-0.505036065,-467.4528554,NA,mgO2/hr/kg,467.4528554,0.505036065,36.237,139
42,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,62,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1743.348947,-0.061461899,0.996,18163,18252,26773.14,24401.39,406.6898333,26892.91,97.684,90.441,-0.054731236,1,-0.054731236,%Air,sec,0.06891,0.0010804,NA,37,36.141,1.019,-0.765174285,-708.2324005,NA,mgO2/hr/kg,708.2324005,0.765174285,36.341,139
43,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,64,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,2342.015331,-0.081367892,0.967,18757,18846,27572.05,25200.3,420.005,27691.58,97.881,87.59,-0.074423252,1,-0.074423252,%Air,sec,0.06891,0.0010804,NA,37,36.311,1.019,-1.03789323,-960.6564513,NA,mgO2/hr/kg,960.6564513,1.03789323,36.511,139
44,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,65,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1995.946645,-0.067867206,0.98,19055,19144,27972.43,25600.68,426.678,28092,97.05,89.768,-0.060815309,1,-0.060815309,%Air,sec,0.06891,0.0010804,NA,37,36.424,1.019,-0.846719088,-783.7088928,NA,mgO2/hr/kg,783.7088928,0.846719088,36.624,139
45,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,66,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,2575.673231,-0.087415021,0.993,19353,19442,28372.69,26000.94,433.349,28492.18,95.41,85.142,-0.080255914,1,-0.080255914,%Air,sec,0.06891,0.0010804,NA,37,36.595,1.019,-1.114600016,-1031.654957,NA,mgO2/hr/kg,1031.654957,1.114600016,36.795,139
46,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,67,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,1665.283282,-0.054591661,0.997,19651,19740,28772.86,26401.11,440.0185,28892.49,94.588,88.203,-0.04732534,1,-0.04732534,%Air,sec,0.06891,0.0010804,NA,37,36.703,1.019,-0.656223458,-607.3893539,NA,mgO2/hr/kg,607.3893539,0.656223458,36.903,139
47,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,71,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,355.174984,-0.00842876,0.964,20838,20927,30372.35,28000.6,466.6766667,30492.17,99.178,98.232,-0.000733948,1,-0.000733948,%Air,sec,0.06891,0.0010804,NA,37,37.053,1.019,-0.010125388,-9.371888106,NA,mgO2/hr/kg,9.371888106,0.010125388,37.253,139
1,13/07/2023,"101.LSBI.160.31,5.1",101,LSBI,160,31,5,ASUS,ch2,1,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,592.3946037,-0.16940354,0.976,45,134,2958.84,0,0,3079.46,89.048,68.676,-0.169228957,1,-0.169228957,%Air,sec,0.07073,0.0046508,NA,37,30.047,1.019,-2.663588518,-572.7162033,NA,mgO2/hr/kg,572.7162033,2.663588518,30.147,138
2,13/07/2023,"101.LSBI.160.31,5.1",101,LSBI,160,31,5,ASUS,ch2,2,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,634.7782896,-0.16205184,0.997,341,430,3359.56,400.72,6.678666667,3479.97,89.745,71.141,-0.161797521,1,-0.161797521,%Air,sec,0.07073,0.0046508,NA,37,30.04,1.019,-2.546901857,-547.6266141,NA,mgO2/hr/kg,547.6266141,2.546901857,30.14,138
3,13/07/2023,"101.LSBI.160.31,5.1",101,LSBI,160,31,5,ASUS,ch2,3,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,650.3136007,-0.148412238,0.99,636,725,3759,800.16,13.336,3879.38,93.861,75.288,-0.14807842,1,-0.14807842,%Air,sec,0.07073,0.0046508,NA,37,30.032,1.019,-2.331239282,-501.2555435,NA,mgO2/hr/kg,501.2555435,2.331239282,30.132,138
